No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
17,17,상왕십리,2,성동구,하왕십리동,서울특별시 성동구 하왕십리동 946-14 상왕십리역,6110-2071,127.0297877,37.56397139,정좌표
18,18,왕십리(성동구청),2,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(2호선),6110-2081,127.037102,37.56258381,인근좌표
19,19,한양대,2,성동구,행당동,서울특별시 성동구 행당동 산17 17 한양대역,6110-2091,127.0412293,37.5588542,인근좌표
20,20,뚝섬,2,성동구,성수동1가,서울특별시 성동구 성수동1가 656-745 뚝섬역,6110-2101,127.0447822,37.54818593,인근좌표
21,21,성수,2,성동구,성수동2가,서울특별시 성동구 성수동2가 300-1 성수역,6110-2111,127.0569586,37.5446739,정좌표
22,22,건대입구,2,광진구,화양동,서울특별시 광진구 화양동 7-3 2호선 건대입구역(2호선),6110-2121,127.0690065,37.5408069,정좌표
23,23,구의(광진구청),2,광진구,구의동,서울특별시 광진구 구의동 245-24 2호선 구의역,6110-2131,127.0890038,37.53806012,정좌표
24,24,강변(동서울터미널),2,광진구,구의동,서울특별시 광진구 구의동 546-6 2호선 강변역,6110-2141,127.09452,37.53537297,정좌표
25,25,잠실나루,2,송파구,신천동,서울특별시 송파구 신천동 15 잠실나루역,6110-2151,127.1047324,37.51892291,정좌표
26,26,잠실(송파구청),2,송파구,잠실동,서울특별시 송파구 잠실동 8 잠실역(2호선),6110-2161,127.0746413,37.51769388,정좌표
27,27,잠실새내,2,송파구,잠실동,서울특별시 송파구 잠실동 33 잠실새내역,6110-2171,127.0891701,37.51154024,정좌표
28,28,종합운동장,2,송파구,잠실동,서울특별시 송파구 잠실동 122 종합운동장역,6110-2181,127.074265,37.51109828,정좌표
29,29,삼성(무역센터),2,강남,삼성동,서울특별시 강남구 삼성동 172-66 삼성역,6110-2191,127.0580019,37.50740002,정좌표
30,30,선릉,2,강남,삼성동,서울특별시 강남구 삼성동 172-66 선릉역,6110-2201,127.0580019,37.50740002,정좌표
31,31,역삼,2,강남,역삼동,서울특별시 강남구 역삼동 804 역삼역,6110-2211,127.0383074,37.50123987,정좌표
32,32,강남,2,강남,역삼동,서울특별시 강남구 역삼동 858 강남역,6110-2221,127.0281564,37.49704666,정좌표
33,33,교대(법원·검찰청),2,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(2호선),6110-2231,127.017314,37.49486507,정좌표
34,34,서초,2,서초구,서초동,서울특별시 서초구 서초동 1748-5 서초역,6110-2241,127.0105532,37.49278795,정좌표
35,35,방배,2,서초구,방배동,서울특별시 서초구 방배동 912-14 방배역,6110-2251,126.9970025,37.48127007,정좌표
36,36,사당,2,동작구,사당동,서울특별시 동작구 사당동 1129 사당역(2호선),6110-2261,126.976342,37.47641771,정좌표
37,37,낙성대,2,관악구,봉천동,서울특별시 관악구 봉천동 1693-39 2호선 낙성대역사,6110-2271,126.965672,37.47635311,정좌표
38,38,서울대입구(관악구청),2,관악구,봉천동,서울특별시 관악구 봉천동 979-2 서울대입구역사,6110-2281,126.9515927,37.48123283,정좌표
40,40,신림,2,관악구,신림동,서울특별시 관악구 신림동 1467-10 2호선 신림역사,6110-2301,126.9289081,37.48431955,정좌표
41,41,신대방,2,동작구,신대방동,서울특별시 동작구 신대방동 643-1 신대방역 2호선,6110-2311,126.9129362,37.48753811,정좌표
42,42,구로디지털단지,2,구로구,구로동,서울특별시 구로구 구로동 810-3 구로디지털단지역,6110-2321,126.9010535,37.48535227,정좌표
43,43,대림(구로구청),2,구로구,구로동,서울특별시 구로구 구로동 1204 대림역(2호선),6110-2331,126.8947756,37.49342043,정좌표
44,44,신도림,2,구로구,신도림동,서울특별시 구로구 신도림동 460-26 2호선 신도림역,6110-2341,126.8910844,37.50872664,정좌표
45,45,문래,2,영등포구,문래동3가,서울특별시 영등포구 문래동3가 68-1문래역,6110-2351,126.8945558,37.51825999,정좌표
46,46,영등포구청,2,영등포구,당산동3가,서울특별시 영등포구 당산동3가 270-1 영등포구청역(2호선),6110-2361,126.8968379,37.5253548,정좌표
47,47,당산,2,영등포구,당산동,서울특별시 영등포구 당산동 6가 323-1 당산역,6110-2371,126.9025906,37.53520166,정좌표
48,48,합정,2,마포구,서교동,서울특별시 마포구 서교동 393 합정역(2호선),6110-2381,126.9151342,37.55101338,인근좌표
49,49,홍대입구,2,마포구,동교동,서울특별시 마포구 동교동 165 홍대입구역,6110-2391,126.9241332,37.55674249,인근좌표
50,50,신촌,2,마포구,노고산동,서울특별시 마포구 노고산동 31-11 신촌역,6110-2401,126.9375367,37.55466327,정좌표
51,51,이대,2,마포구,염리동,서울특별시 마포구 염리동 8-85 이대역,6110-2411,126.9477049,37.55684108,정좌표
52,52,아현,2,마포구,아현동,서울특별시 마포구 아현동 354-23 아현역,6110-2421,126.9547895,37.55669232,정좌표
53,53,충정로(경기대입구),2,서대문구,충정로3가,서울특별시 서대문구 충정로3가 319-1 충정로역(2호선),6110-2431,126.9638447,37.55952861,정좌표
54,54,용답,2,성동구,용답동,서울특별시 성동구 용답동 127 용답역,6110-1341,127.0496501,37.566861,정좌표
55,55,신답,2,성동구,용답동,서울특별시 성동구 용답동 129-2 신답역,6110-1351,127.0454125,37.570686,정좌표
56,56,용두(동대문구청),2,동대문구,용두동,서울특별시 동대문구 용두동 47-1 용두역,6110-1361,127.0383765,37.57542951,정좌표
57,57,신설동,2,동대문구,신설동,서울특별시 동대문구 신설동 76-5 신설동역(2호선),6110-1371,127.0259353,37.57644921,정좌표
58,58,도림천,2,구로구,신도림동,서울특별시 구로구 신도림동 323-16 도림천역,6110-2441,126.8829462,37.51427045,정좌표
59,59,양천구청,2,양천구,신정동,서울특별시 양천구 신정동 276-7 양천구청역,6110-2451,126.8657203,37.51255401,정좌표
60,60,신정네거리,2,양천구,신정동,서울특별시 양천구 신정동 1231 신정네거리역,6110-2461,126.8536044,37.51831773,정좌표
61,61,까치산,2,강서구,화곡동,서울특별시 강서구 화곡동 662-5 까치산역,6110-5180,126.8462353,37.53252653,정좌표
62,62,지축,3,고양시 덕양구,덕양구,경기도 고양시 덕양구 지축동 818-64 3호선 지축역,6110-3191,126.9113445,37.6487809,정좌표
63,63,구파발,3,은평구,진관동,서울특별시 은평구 진관동 67-26 3호선 구파발역사무소,6110-3201,126.9185208,37.63756876,정좌표
64,64,연신내,3,은평구,갈현동,서울특별시 은평구 갈현동 397 연신내역(3호선),6110-3211,126.9208264,37.61892105,정좌표
65,65,불광,3,은평구,대조동,서울특별시 은평구 대조동 14-1 불광역(3호선),6110-3221,126.9292724,37.61052598,정좌표
66,66,녹번,3,은평구,녹번동,서울특별시 은평구 녹번동 55 지하철3호선 녹번역,6110-3231,126.9357297,37.6010593,정좌표
67,67,홍제,3,서대문구,홍제동,서울특별시 서대문구 홍제동 161-1 홍제역,6110-3241,126.9452969,37.58768059,정좌표
68,68,무악재,3,서대문구,홍제동,서울특별시 서대문구 홍제동 26-1 무악재역,6110-3251,126.9505434,37.58241694,정좌표
69,69,독립문,3,서대문구,현저동,서울특별시 서대문구 현저동 101 독립문역,6110-3261,126.9561436,37.57420676,정좌표
70,70,경복궁(정부서울청사),3,종로구,적선동,서울특별시 종로구 적선동 81-1 3호선 경복궁역,6110-3271,126.9731809,37.57575031,정좌표
71,71,안국,3,종로구,안국동,서울특별시 종로구 안국동 155-2 3호선 안국역,6110-3281,126.9847715,37.57647306,인근좌표
72,72,종로3가,3,종로구,묘동,서울특별시 종로구 묘동 59 종로3가역(3호선),6110-3291,126.9921365,37.57136186,인근좌표
73,73,을지로3가,3,중구,을지로3가,서울특별시 중구 을지로3가 282-8 을지로3가역(3호선),6110-3301,126.9936067,37.56639838,정좌표
74,74,충무로,3,중구,필동2가,"서울특별시 중구 필동2가 16-2 충무로역(3, 4호선)",6110-4231,126.9943036,37.56119844,정좌표
75,75,동대입구,3,중구,장충동2가,서울특별시 중구 장충동2가 199-3 동대입구역 3호선,6110-3321,127.005087,37.55920271,정좌표
76,76,약수,3,중구,신당동,서울특별시 중구 신당동 369-44 약수역(3호선),6110-3331,127.0109658,37.55443821,정좌표
77,77,금호,3,성동구,금호동4가,서울특별시 성동구 금호동4가 1470 금호역,6110-3341,127.0157821,37.54810891,인근좌표
78,78,옥수,3,성동구,옥수동,서울특별시 성동구 옥수동 168-1 옥수역,6110-3351,127.0177614,37.5400413,정좌표
79,79,압구정,3,강남구,신사동,서울특별시 강남구 신사동 668 압구정역,6110-3361,127.0282844,37.52353323,정좌표
80,80,신사,3,강남구,신사동,서울특별시 강남구 신사동 667 신사역,6110-3371,127.0187271,37.51966252,정좌표
81,81,잠원,3,서초구,잠원동,서울특별시 서초구 잠원동 100-1 잠원역,6110-3381,127.0117338,37.5130591,정좌표
82,82,고속터미널,3,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(3호선),6110-3391,127.0048509,37.50483917,정좌표
83,83,교대(법원·검찰청),3,서초구,서초동,서울특별시 서초구 서초동 1748-4 교대역(3호선),6110-3401,127.017314,37.49486507,정좌표
84,84,남부터미널(예술의전당),3,서초구,서초동,서울특별시 서초구 서초동 1748-30 남부터미널역,6110-3411,127.0153275,37.48663406,정좌표
85,85,양재(서초구청),3,서초구,서초동,서울특별시 서초구 서초동 1366-9 양재역,6110-3421,127.0333604,37.48476934,정좌표
86,86,매봉,3,강남구,도곡동,서울특별시 강남구 도곡동 179-2 매봉역,6110-3431,127.0466567,37.48698449,정좌표
87,87,도곡,3,강남구,도곡동,서울특별시 강남구 도곡동 339-2 도곡역,6110-3441,127.0548971,37.49070994,정좌표
88,88,대치,3,강남구,대치동,서울특별시 강남구 대치동 317-3 대치역,6110-3451,127.0632351,37.4945183,정좌표
89,89,학여울,3,강남구,대치동,서울특별시 강남구 대치동 514-3 학여울역,6110-3461,127.0718161,37.49672461,정좌표
90,90,대청,3,강남구,일원동,서울특별시 강남구 일원동 700-9 대청역,6110-3471,127.079536,37.49364889,정좌표
