No,연번,역명,호선,구,동,상세주소,,경도,위도,상태
138,138,여의도,5,영등포구,여의도동,서울특별시 영등포구 여의도동 3 여의도역,6311-5260,126.9269111,37.52323816,정좌표
139,139,여의나루,5,영등포구,여의도동,서울특별시 영등포구 여의도동 84-4 여의나루역,6311-5270,126.9324862,37.52816175,정좌표
140,140,마포,5,마포구,도화동,서울특별시 마포구 도화동 160 마포역,6311-5280,126.9467714,37.53809032,인근좌표
141,141,공덕,5,마포구,공덕동,"서울특별시 마포구 공덕동 423-29 공덕역(5, 6호선)",6311-5290,126.9511701,37.54447613,정좌표
142,142,애오개,5,마포구,아현동,서울특별시 마포구 아현동 612 애오개역,6311-5300,126.9564132,37.55389862,인근좌표
143,143,충정로(경기대입구),5,서대문구,충정로3가,서울특별시 서대문구 충정로3가 248-1 충정로역(5호선),6311-5310,126.9632887,37.56078607,정좌표
144,144,서대문,5,종로구,평동,서울특별시 종로구 평동 210 서대문역,6311-5320,126.9668629,37.56616312,정좌표
145,145,광화문(세종문화회관),5,종로구,세종로,서울특별시 종로구 세종로 1-90 광화문역,6311-5330,126.9771953,37.57155495,정좌표
146,146,종로3가(탑골공원),5,종로구,낙원동,서울특별시 종로구 낙원동 126 종로3가역(5호선),6311-5340,126.9897192,37.57256483,정좌표
147,147,을지로4가,5,중구,을지로4가,서울특별시 중구 을지로4가 192 을지로4가역(5호선),6311-5350,126.9985171,37.56618297,정좌표
148,148,동대문역사문화공원,5,중구,광희동1가,서울특별시 중구 광희동1가 235-6 동대문역사문화공원역(5호선),6311-5360,127.0055729,37.56463688,정좌표
149,149,청구,5,중구,신당동,"서울특별시 중구 신당동 295-2 청구역(5, 6호선)",6311-5370,127.0138456,37.56033751,정좌표
150,150,신금호,5,성동구,금호동2가,서울특별시 성동구 금호동2가 223-1 신금호역,6311-5380,127.0197662,37.55465413,정좌표
151,151,행당,5,성동구,행당동,서울특별시 성동구 행당동 317-241 행당역,6311-5390,127.0334116,37.55853914,인근좌표
152,152,왕십리(성동구청),5,성동구,행당동,서울특별시 성동구 행당동 192 왕십리역(5호선),6311-5400,127.037102,37.56258381,인근좌표
153,153,마장,5,성동구,마장동,서울특별시 성동구 마장동 772 마장역,6311-5410,127.0427008,37.56652178,인근좌표
154,154,답십리,5,성동구,용답동,서울특별시 성동구 용답동 99 답십리역,6311-5420,127.0522583,37.56688828,인근좌표
155,155,장한평,5,동대문구,장안동,서울특별시 동대문구 장안동 472-3 장한평역,6311-5430,127.0602996,37.56242038,정좌표
156,156,군자(능동),5,광진구,능동,"서울특별시 광진구 능동 275-5 군자역(5, 7호선)",6311-5440,127.0805089,37.55671998,정좌표
157,157,아차산(어린이대공원후문),5,광진구,능동,서울특별시 광진구 능동 256-16 아차산역,6311-5450,127.0863233,37.55424356,정좌표
158,158,광나루(장신대),5,광진구,광장동,서울특별시 광진구 광장동 237 광나루역,6311-5460,127.1034784,37.54516219,정좌표
