지역명,2018년 전체,2018년 1층,2018년 1층 외,2019년,2019년 1층,2019년 1층 외,2020년,2020년 1층,2020년 1층 외
창3동,68019 ,74263 ,46944 ,76994 ,91038 ,52027 ,62511 ,75425 ,32162 
창4동,134273 ,194223 ,111534 ,130919 ,199274 ,62565 ,100733 ,165052 ,76911 
창5동,90366 ,126148 ,59355 ,112340 ,149785 ,47304 ,96619 ,133470 ,60414 
도봉1동,69873 ,72068 ,64387 ,87444 ,113787 ,37050 ,71400 ,85316 ,35219 
도봉2동,78657 ,93037 ,58394 ,79838 ,95328 ,56195 ,86524 ,106988 ,60700 
쌍문1동,85634 ,100872 ,32304 ,,83358 ,,61701 ,72982 ,36318 
쌍문2동,77982 ,93748 ,44349 ,81545 ,104458 ,45267 ,69706 ,91579 ,45645 
쌍문3동,64241 ,83130 ,28352 ,80563 ,93748 ,49123 ,90515 ,114194 ,45788 
쌍문4동,100953 ,146493 ,55412 ,77997 ,103478 ,52515 ,83001 ,122722 ,55368 
방학1동,74156 ,87794 ,40311 ,111847 ,132908 ,59650 ,81991 ,96882 ,47245 
방학2동,76966 ,95385 ,23123 ,63741 ,74675 ,23984 ,72381 ,87833 ,32302 
방학3동,61392 ,76288 ,44840 ,62452 ,93518 ,39562 ,81532 ,78719 ,83800 
노원구,103291 ,128887 ,72289 ,106095 ,135390 ,70094 ,103275 ,134345 ,69860 
월계1동,91482 ,112322 ,31939 ,107610 ,148021 ,43427 ,102641 ,133270 ,57876 
월계2동,69009 ,90125 ,44374 ,,113826 ,,90740 ,94747 ,86025 
월계3동,,,,138067 ,163636 ,95451 ,115438 ,179401 ,71827 
공릉1동,79268 ,102639 ,43745 ,90775 ,117557 ,47558 ,93756 ,112726 ,65302 
공릉2동,91166 ,111519 ,60635 ,113692 ,130346 ,83412 ,99793 ,121716 ,72388 
하계1동,90561 ,87944 ,93178 ,78420 ,107350 ,65271 ,87750 ,98728 ,77940 
하계2동,,,,,,,128976 ,165785 ,87566 
중계본동,120095 ,164008 ,93259 ,88136 ,109523 ,68608 ,93461 ,120935 ,71657 
중계1동,133965 ,170430 ,116948 ,124222 ,179917 ,74715 ,133455 ,212569 ,91571 
중계4동,88192 ,110099 ,44380 ,96363 ,110273 ,83149 ,108684 ,158001 ,57074 
중계2.3동,106695 ,174749 ,87251 ,176401 ,282221 ,123491 ,99466 ,161210 ,71681 
상계1동,91048 ,111382 ,58091 ,99882 ,129501 ,47554 ,90921 ,124006 ,52680 
상계2동,135480 ,170148 ,86944 ,137662 ,163832 ,107131 ,121057 ,152755 ,80382 
상계3.4동,84003 ,83500 ,85428 ,63424 ,80623 ,36194 ,77363 ,90302 ,44171 
상계5동,61831 ,86352 ,33045 ,69270 ,92695 ,44044 ,77776 ,102674 ,36696 
상계6.7동,120650 ,162364 ,85193 ,126201 ,181226 ,66943 ,130792 ,179812 ,94923 
상계8동,107327 ,175582 ,39072 ,,,61107 ,118368 ,162791 ,62840 
상계9동,92473 ,141254 ,53448 ,108945 ,133025 ,60786 ,106310 ,203781 ,52858 
상계10동,,,54834 ,,,47169 ,99816 ,204730 ,66435 
은평구,90042 ,99627 ,69457 ,92543 ,105636 ,69099 ,95701 ,111518 ,70074 
녹번동,87104 ,103087 ,61900 ,82436 ,99077 ,56285 ,90705 ,105450 ,70343 
불광1동,115198 ,131320 ,60115 ,95580 ,117333 ,64504 ,103827 ,129992 ,58474 
불광2동,95378 ,112706 ,57833 ,97180 ,117915 ,51870 ,116610 ,144733 ,73113 
갈현1동,87069 ,95136 ,73544 ,101525 ,132386 ,52341 ,94863 ,109046 ,71044 
갈현2동,87989 ,105816 ,33733 ,86203 ,100543 ,51377 ,91779 ,111757 ,57246 
구산동,73626 ,76677 ,62644 ,67684 ,73775 ,58943 ,87490 ,101342 ,67838 
대조동,89661 ,94900 ,78848 ,122559 ,131421 ,106044 ,105180 ,123335 ,81285 
응암1동,87696 ,105395 ,58199 ,102904 ,116653 ,78066 ,87853 ,112314 ,53608 
응암2동,100116 ,96177 ,104931 ,103132 ,105829 ,99086 ,93108 ,100415 ,82147 
응암3동,78640 ,91909 ,41597 ,83941 ,97013 ,58149 ,91082 ,109404 ,47748 
역촌동,83336 ,95134 ,55809 ,85619 ,95446 ,69015 ,83642 ,96995 ,56397 
신사1동,94421 ,87222 ,117681 ,79115 ,90568 ,46392 ,90851 ,94362 ,83487 
신사2동,70946 ,74455 ,66561 ,77555 ,76291 ,79300 ,78021 ,86105 ,62142 
증산동,70094 ,72918 ,63793 ,65068 ,74613 ,35478 ,91753 ,105988 ,54743 
수색동,,70702 ,,83356 ,101606 ,59891 ,65645 ,80087 ,34956 
진관동,136297 ,143247 ,125993 ,109771 ,119029 ,96715 ,116120 ,126940 ,105717 
서대문구,113606 ,130910 ,80800 ,104119 ,123293 ,75928 ,106143 ,129624 ,74953 
천연동,85289 ,106338 ,43192 ,94628 ,117486 ,71771 ,110247 ,134115 ,67151 
북아현동,149223 ,156231 ,137364 ,83756 ,96284 ,61384 ,119476 ,139489 ,92315 
충현동,119975 ,118969 ,121506 ,95151 ,102869 ,85718 ,96081 ,118926 ,70729 
신촌동,164309 ,225167 ,82530 ,134860 ,173241 ,94928 ,134601 ,186761 ,84136 
연희동,97271 ,106353 ,84753 ,95841 ,108693 ,79904 ,93505 ,95559 ,91519 
홍제1동,90182 ,109910 ,52371 ,96617 ,109014 ,47029 ,121360 ,156042 ,69337 
홍제3동,97801 ,105015 ,71350 ,102562 ,118186 ,55690 ,104367 ,119484 ,50060 
홍제2동,117695 ,145181 ,78428 ,136704 ,212912 ,60495 ,94291 ,116203 ,67615 
홍은1동,74293 ,80199 ,62025 ,71915 ,82729 ,56465 ,71134 ,83994 ,55212 
홍은2동,87418 ,103574 ,51378 ,87653 ,103878 ,55203 ,81111 ,96641 ,55226 
남가좌1동,184632 ,227469 ,113238 ,113902 ,133210 ,62414 ,120929 ,139639 ,88966 
남가좌2동,80882 ,86083 ,55919 ,108120 ,127157 ,73220 ,84527 ,105837 ,43515 
북가좌1동,,90512 ,,,92840 ,,98638 ,108363 ,80402 
북가좌2동,88071 ,99205 ,57599 ,80601 ,93589 ,62890 ,84416 ,100211 ,56094 
마포구,121602 ,145670 ,103190 ,121108 ,140062 ,103115 ,123118 ,150690 ,103149 
아현동,144272 ,196919 ,95675 ,124041 ,152935 ,102259 ,118385 ,168013 ,84622 
공덕동,83508 ,100351 ,71985 ,90513 ,97620 ,81807 ,95579 ,105876 ,86488 
도화동,129144 ,186688 ,83773 ,149212 ,181137 ,124228 ,127995 ,162624 ,106351 
용강동,91588 ,136759 ,76135 ,100121 ,156460 ,77798 ,117026 ,167079 ,99306 
대흥동,116718 ,131612 ,97202 ,105933 ,136781 ,74204 ,123995 ,168283 ,74320 
염리동,122682 ,120663 ,125412 ,112506 ,122056 ,79082 ,123652 ,163232 ,64281 
신수동,107490 ,134071 ,61922 ,82846 ,100058 ,60940 ,106623 ,120461 ,95280 
서강동,126087 ,155511 ,98727 ,127138 ,151220 ,97341 ,130836 ,150708 ,116327 
서교동,139924 ,162774 ,127306 ,133307 ,154854 ,117669 ,135895 ,175241 ,114458 
합정동,118402 ,138176 ,102319 ,125045 ,147097 ,107165 ,124403 ,134786 ,116393 
망원1동,109826 ,129780 ,80179 ,117543 ,134189 ,88412 ,124300 ,148541 ,91612 
망원2동,100581 ,111034 ,76495 ,100177 ,109101 ,83560 ,98916 ,114329 ,77657 
연남동,114737 ,126380 ,107314 ,120109 ,138813 ,99769 ,118900 ,129771 ,107896 
성산1동,76539 ,101720 ,54321 ,94131 ,102902 ,84108 ,87030 ,111719 ,64212 
성산2동,128053 ,143958 ,109422 ,97074 ,113312 ,75915 ,104126 ,125332 ,84150 
상암동,134461 ,189513 ,106935 ,148246 ,178407 ,129855 ,137305 ,188401 ,111156 
양천구,94989 ,117980 ,64353 ,97691 ,119994 ,69540 ,97109 ,119081 ,72320 
목1동,114925 ,164234 ,85649 ,131390 ,187285 ,98544 ,136665 ,172349 ,117435 
목2동,88780 ,97498 ,72929 ,95145 ,109433 ,77825 ,108422 ,120060 ,91083 
목3동,101209 ,139343 ,47823 ,95450 ,119322 ,69694 ,93220 ,125406 ,55517 
목4동,86194 ,107366 ,47920 ,89981 ,112013 ,51427 ,80507 ,98614 ,50631 
목5동,105548 ,163717 ,79371 ,144792 ,204653 ,89785 ,143850 ,229531 ,85735 
신월1동,83944 ,90369 ,67560 ,83236 ,104127 ,35604 ,70761 ,85021 ,34787 
신월2동,72456 ,80855 ,55656 ,71630 ,102394 ,44880 ,62907 ,79083 ,49966 
신월3동,67698 ,89607 ,33618 ,62901 ,69948 ,51156 ,78921 ,101315 ,38468 
신월4동,110823 ,125186 ,62349 ,69819 ,77374 ,48234 ,73320 ,87091 ,44597 
신월5동,64016 ,74980 ,36607 ,60365 ,75713 ,30949 ,74426 ,83312 ,48261 
신월6동,74319 ,77475 ,69360 ,78485 ,95290 ,36473 ,93605 ,111104 ,45485 
신월7동,66091 ,75343 ,39877 ,72961 ,98926 ,44213 ,67612 ,84143 ,41404 
신정1동,96665 ,123939 ,50508 ,95302 ,119234 ,48769 ,91174 ,111879 ,64294 
신정2동,104299 ,136550 ,54456 ,112978 ,132239 ,90966 ,80707 ,102146 ,59949 
신정3동,94740 ,123622 ,51952 ,101021 ,148030 ,54012 ,91348 ,140391 ,54760 
신정4동,90882 ,119908 ,60725 ,81448 ,94711 ,61553 ,85855 ,108057 ,62256 
신정6동,137546 ,214995 ,81610 ,148538 ,182922 ,108865 ,132294 ,198114 ,99384 
신정7동,127303 ,171273 ,88219 ,126595 ,159610 ,83871 ,117491 ,135789 ,96448 
강서구,102345 ,126634 ,71726 ,104918 ,131068 ,72972 ,100968 ,130888 ,72739 
염창동,89568 ,112451 ,69377 ,90989 ,112650 ,62488 ,85250 ,103457 ,66558 
등촌1동,73422 ,92270 ,48683 ,78848 ,99949 ,59330 ,89663 ,122354 ,61591 
등촌2동,85369 ,87173 ,79557 ,83295 ,101371 ,42624 ,77017 ,82087 ,69888 
등촌3동,79202 ,117643 ,63374 ,108997 ,148613 ,65075 ,111910 ,155125 ,86701 
화곡1동,82366 ,90770 ,64156 ,93310 ,109205 ,63542 ,87118 ,103075 ,62962 
화곡2동,74443 ,84071 ,40745 ,87713 ,87434 ,89310 ,71929 ,87566 ,30539 
화곡3동,82721 ,110066 ,56319 ,105873 ,122063 ,77090 ,105111 ,127908 ,71992 
화곡4동,102336 ,118144 ,53159 ,107062 ,120781 ,71869 ,103501 ,128586 ,42581 
화곡본동,97873 ,116790 ,70954 ,91584 ,108479 ,66241 ,88162 ,103147 ,61483 
화곡6동,91954 ,107655 ,67135 ,94609 ,108979 ,77308 ,86990 ,101796 ,62961 
화곡8동,138921 ,163921 ,90311 ,118674 ,131435 ,57001 ,113095 ,143545 ,46658 
가양1동,142866 ,239795 ,85404 ,143503 ,229347 ,91790 ,121101 ,205739 ,85633 
가양2동,106948 ,156509 ,75972 ,113338 ,168512 ,53566 ,112381 ,161403 ,80517 
가양3동,83305 ,84484 ,82569 ,112126 ,113144 ,111767 ,101026 ,134692 ,86598 
발산1동,81175 ,104544 ,42781 ,82438 ,123580 ,54503 ,86281 ,130546 ,64507 
우장산동,119483 ,135494 ,88606 ,107233 ,125925 ,73938 ,113038 ,145287 ,68247 
공항동,112096 ,120359 ,97119 ,87448 ,105695 ,46698 ,97475 ,99864 ,92799 
방화1동,102807 ,118163 ,76873 ,94570 ,115004 ,64383 ,112569 ,150475 ,63735 
방화2동,59974 ,74040 ,37869 ,61481 ,61127 ,62543 ,83062 ,89212 ,73903 
방화3동,113190 ,146749 ,74837 ,100309 ,141200 ,59419 ,108046 ,139318 ,65191 
구로구,95907 ,112279 ,81190 ,103790 ,118758 ,89128 ,108939 ,125230 ,92648 
신도림동,113293 ,129538 ,89506 ,130876 ,140322 ,119927 ,118262 ,116124 ,120485 
구로1동,97525 ,124024 ,57776 ,104142 ,135533 ,44850 ,135392 ,176522 ,95844 
구로2동,96774 ,113233 ,87345 ,97607 ,117441 ,84349 ,109942 ,120660 ,100483 
구로3동,135497 ,179098 ,115556 ,126336 ,162745 ,110558 ,128635 ,175219 ,107912 
구로4동,108703 ,129661 ,49528 ,120120 ,131056 ,98250 ,123115 ,147970 ,70233 
구로5동,91900 ,100837 ,87917 ,109823 ,94525 ,118870 ,101045 ,108376 ,97294 
가리봉동,72300 ,88675 ,28636 ,82822 ,103469 ,39234 ,112295 ,131388 ,62049 
고척1동,72893 ,95638 ,47564 ,96951 ,130441 ,45193 ,100611 ,143169 ,54850 
고척2동,57541 ,67520 ,40494 ,70209 ,82524 ,42502 ,86641 ,92672 ,74867 
개봉1동,77165 ,95135 ,34379 ,68515 ,77208 ,53061 ,81820 ,93600 ,50405 
개봉2동,89350 ,112044 ,54435 ,135375 ,138161 ,129207 ,96566 ,112976 ,73774 
개봉3동,63782 ,87591 ,30816 ,74849 ,94031 ,43459 ,81247 ,96731 ,46592 
오류1동,103246 ,120475 ,61898 ,103557 ,157809 ,39730 ,130310 ,150940 ,99364 
오류2동,93854 ,110740 ,79983 ,91469 ,114812 ,57232 ,93936 ,111028 ,72756 
수궁동,57639 ,70443 ,39144 ,62783 ,80973 ,29202 ,90859 ,105280 ,65152 
금천구,81184 ,101664 ,64910 ,94387 ,113393 ,79806 ,104134 ,121063 ,89683 
가산동,88374 ,103758 ,83887 ,101471 ,145606 ,87484 ,108848 ,162927 ,92498 
독산1동,75371 ,105717 ,46679 ,91874 ,104233 ,82800 ,96354 ,114688 ,79760 
독산2동,71259 ,80719 ,46820 ,69343 ,80031 ,45501 ,74640 ,92484 ,31943 
독산3동,79435 ,100199 ,52327 ,77411 ,80835 ,65728 ,80864 ,93892 ,54132 
독산4동,69611 ,79049 ,34692 ,87679 ,109238 ,33783 ,96115 ,107497 ,57226 
시흥1동,90803 ,118053 ,43873 ,93496 ,116809 ,48130 ,108817 ,133527 ,70607 
