지역명,2018년 전체,2018년 1층,2018년 1층 외,2019년,2019년 1층,2019년 1층 외,2020년,2020년 1층,2020년 1층 외
반포3동,134246 ,211105 ,75124 ,156825 ,234070 ,88668 ,155322 ,222274 ,117425 
반포4동,157639 ,263822 ,124037 ,150765 ,223591 ,111551 ,151097 ,180416 ,144306 
방배본동,100598 ,118877 ,80444 ,97837 ,123124 ,57961 ,92220 ,123587 ,61213 
방배1동,102758 ,125331 ,83235 ,97520 ,139502 ,67825 ,110559 ,136630 ,83416 
방배2동,126431 ,147506 ,95476 ,104293 ,117846 ,85402 ,116518 ,122210 ,110382 
방배3동,78474 ,97248 ,54486 ,115899 ,162377 ,57026 ,77628 ,108401 ,58864 
방배4동,105405 ,109714 ,100066 ,105457 ,117420 ,74462 ,104575 ,124424 ,80924 
양재1동,103899 ,141496 ,71673 ,98069 ,123982 ,77996 ,110094 ,136845 ,88618 
양재2동,71356 ,84638 ,61972 ,80340 ,94934 ,70198 ,79378 ,94076 ,66714 
내곡동,153520 ,132540 ,176830 ,109859 ,101961 ,134681 ,125926 ,173860 ,82350 
강남구,127378 ,157204 ,108414 ,133641 ,165285 ,113096 ,136661 ,172407 ,116285 
신사동,125137 ,193837 ,87351 ,126682 ,175662 ,94989 ,127081 ,173802 ,101218 
논현1동,133021 ,163461 ,111370 ,121645 ,154995 ,98618 ,127885 ,163237 ,104553 
논현2동,103589 ,126562 ,89382 ,113709 ,143319 ,95501 ,122763 ,140487 ,113359 
압구정동,129082 ,175139 ,99589 ,140197 ,208071 ,91085 ,136941 ,200067 ,100006 
청담동,121490 ,159269 ,100934 ,138187 ,184141 ,112359 ,134122 ,163769 ,122141 
삼성1동,146465 ,156192 ,141902 ,188678 ,191935 ,187186 ,170869 ,176473 ,168281 
삼성2동,150431 ,178491 ,131233 ,152148 ,152907 ,151577 ,140272 ,176397 ,116977 
대치1동,152620 ,219765 ,98904 ,215768 ,332236 ,138123 ,187687 ,261107 ,124755 
대치2동,123442 ,158601 ,108269 ,151013 ,152848 ,149971 ,149244 ,179427 ,127613 
대치4동,137900 ,170436 ,112676 ,134257 ,180735 ,97433 ,143178 ,203120 ,108752 
역삼1동,137774 ,153507 ,128859 ,137924 ,157874 ,127699 ,143087 ,169785 ,131058 
역삼2동,121527 ,155644 ,96197 ,144872 ,156619 ,136638 ,149688 ,201592 ,121422 
도곡1동,147596 ,213951 ,110732 ,126591 ,162810 ,93231 ,138088 ,184825 ,108116 
도곡2동,135984 ,159808 ,119307 ,133549 ,182823 ,98352 ,146626 ,189737 ,120034 
개포1동,,84268 ,,,,,,,81064 
개포2동,92518 ,115077 ,76276 ,129504 ,174883 ,67406 ,133783 ,158632 ,96509 
개포4동,70210 ,84432 ,51249 ,64063 ,82942 ,48837 ,69656 ,89422 ,54062 
세곡동,147365 ,201193 ,110358 ,116309 ,147138 ,94289 ,115341 ,145484 ,100647 
일원본동,129926 ,143663 ,121341 ,133262 ,157231 ,109293 ,163834 ,201675 ,105959 
일원1동,82439 ,101517 ,43011 ,99944 ,130373 ,45848 ,101610 ,128407 ,50077 
일원2동,131365 ,187114 ,81811 ,97536 ,159509 ,80321 ,122081 ,168997 ,110708 
수서동,119736 ,133860 ,117445 ,99009 ,134597 ,87529 ,130981 ,190861 ,107801 
송파구,107219 ,129925 ,82391 ,115344 ,141289 ,89809 ,124972 ,149655 ,103601 
풍납1동,85090 ,103106 ,46484 ,,86261 ,,74773 ,88187 ,45071 
풍납2동,77137 ,91927 ,55445 ,94241 ,108950 ,74416 ,89122 ,113169 ,49043 
거여1동,69920 ,82906 ,34673 ,71143 ,85552 ,44944 ,84487 ,102944 ,69287 
거여2동,105920 ,141026 ,51910 ,90048 ,137904 ,47823 ,73760 ,107548 ,43043 
마천1동,,67557 ,,76312 ,88253 ,36508 ,84399 ,96292 ,42775 
마천2동,79811 ,95541 ,41799 ,87414 ,103686 ,44021 ,104738 ,125297 ,32334 
방이1동,74730 ,96743 ,48888 ,92094 ,112063 ,74027 ,94078 ,128824 ,52072 
방이2동,91665 ,123243 ,62408 ,102758 ,145312 ,65941 ,108876 ,143878 ,77632 
오륜동,277103 ,373532 ,139348 ,298163 ,354303 ,148458 ,302943 ,342474 ,213999 
오금동,79198 ,85555 ,69505 ,80925 ,106564 ,56660 ,78402 ,104359 ,48166 
송파1동,90753 ,104352 ,72861 ,88339 ,111063 ,55647 ,112154 ,125216 ,96479 
송파2동,103954 ,126727 ,75488 ,91376 ,125771 ,51823 ,80843 ,110672 ,57701 
석촌동,97016 ,112119 ,68352 ,98340 ,127574 ,61694 ,114892 ,147530 ,77495 
삼전동,104219 ,122256 ,65221 ,121724 ,147612 ,76852 ,106520 ,141274 ,61339 
가락본동,99114 ,107499 ,92604 ,107015 ,127764 ,84380 ,111888 ,145514 ,78713 
가락1동,73876 ,59381 ,130043 ,108802 ,105137 ,119542 ,179344 ,167260 ,199132 
가락2동,86763 ,107394 ,61671 ,90000 ,112957 ,52543 ,93604 ,121744 ,66649 
문정1동,79386 ,103933 ,48948 ,77326 ,97638 ,46507 ,93695 ,103693 ,78592 
문정2동,112204 ,218909 ,84207 ,125338 ,222987 ,100138 ,130523 ,204019 ,114702 
장지동,75373 ,97364 ,49717 ,80943 ,115585 ,45363 ,103410 ,127995 ,58812 
위례동,207880 ,250808 ,126318 ,152940 ,191620 ,106115 ,144523 ,218904 ,83843 
잠실본동,113633 ,139723 ,78056 ,127705 ,171225 ,73144 ,123169 ,164849 ,77089 
잠실2동,282584 ,443647 ,199070 ,317612 ,482162 ,228481 ,272598 ,470857 ,203079 
잠실3동,198367 ,257847 ,167334 ,263564 ,153105 ,294247 ,243063 ,253286 ,241189 
잠실4동,255556 ,364791 ,130716 ,250176 ,372707 ,153902 ,232436 ,353252 ,197917 
잠실6동,150522 ,268390 ,104525 ,165214 ,205876 ,148193 ,166013 ,195286 ,156255 
잠실7동,,139339 ,,,,,133828 ,199699 ,46001 
강동구,89353 ,108019 ,61217 ,90913 ,110884 ,60584 ,106808 ,126850 ,78673 
