연번,역명,호선,구,동,상세주소,
228,어린이대공원(세종대),7,광진구,화양동,서울특별시 광진구 화양동 164-1 어린이대공원역,6311-7260
229,건대입구,7,광진구,화양동,서울특별시 광진구 화양동 6-3 건대입구역(7호선),6311-7270
230,뚝섬유원지,7,광진구,자양동,서울특별시 광진구 자양동 73-2 뚝섬유원지역,6311-7280
231,청담,7,강남구,청담동,서울특별시 강남구 청담동 77-76 청담역,6311-7290
232,강남구청,7,강남구,삼성동,서울특별시 강남구 삼성동 111-44 강남구청역,6311-7300
233,학동,7,강남구,논현동,서울특별시 강남구 논현동 279-67 학동역,6311-7310
234,논현,7,강남구,논현동,서울특별시 강남구 논현동 280 논현역,6311-7320
235,반포,7,서초구,잠원동,서울특별시 서초구 잠원동 103 반포역,6311-7330
236,고속터미널,7,서초구,반포동,서울특별시 서초구 반포동 19-11 고속터미널역(7호선),6311-7340
237,내방,7,서초구,방배동,서울특별시 서초구 방배동 874-16 내방역,6311-7350
238,이수,7,동작구,사당동,서울특별시 동작구 사당동 144-4 이수역,6311-7360
239,남성,7,동작구,사당동,서울특별시 동작구 사당동 산 25-33 남성역,6311-7370
240,숭실대입구(살피재),7,동작구,상도동,서울특별시 동작구 상도동 514 숭실대입구역,6311-7380
241,상도,7,동작구,상도1동,서울특별시 동작구 상도1동 702-1 상도역,6311-7390
242,장승배기,7,동작구,상도동,서울특별시 동작구 상도동 26-20 장승배기역,6311-7400
243,신대방삼거리,7,동작구,대방동,서울특별시 동작구 대방동 406-10 신대방삼거리역,6311-7410
244,보라매,7,동작구,대방동,서울특별시 동작구 대방동 466-51 보라매역,6311-7420
245,신풍,7,영등포구,신길동,서울특별시 영등포구 신길동 3599 신풍역,6311-7430
246,대림(구로구청),7,구로구,대림동,서울특별시 구로구 대림동 1050-17 대림역(7호선),6311-7440
247,남구로,7,구로구,구로동,서울특별시 구로구 구로동 801-95 남구로역,6311-7450
248,가산디지털단지,7,금천구,가산동,서울특별시 금천구 가산동 54-3 가산디지털단지역,6311-7460
249,철산,7,광명시,철산동,경기도 광명시 철산동 526 철산역,6311-7470
250,광명사거리,7,광명시,광명동,경기도 광명시 광명동 158-211 광명사거리역,6311-7480
251,천왕,7,구로구,오류동,서울특별시 구로구 오류동 174-6 천왕역,6311-7490
252,온수(성공회대입구),7,구로구,온수동,서울특별시 구로구 온수동 53-1 온수역(7호선),6311-7500
253,까치울,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 3-1 까치울역,6311-7510
254,부천종합운동장,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 15-1 부천종합운동장역,6311-7520
255,춘의,7,부천시,원미구 춘의동,경기도 부천시 원미구 춘의동 145 춘의역,6311-7530
256,신중동,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1140-6 신중동역,6311-7540
257,부천시청,7,부천시,원미구 중동,경기도 부천시 원미구 중동 1243 부천시청역,6311-7550
258,상동,7,부천시,원미구 상동,경기도 부천시 원미구 상동 633 상동역,6311-7560
259,삼산체육관,7,부평구,삼산동,인천광역시 부평구 삼산동 466 삼산체육관역,6311-7570
260,굴포천,7,부평구,삼산동,인천광역시 부평구 삼산동 466 굴포천역,6311-7580
261,부평구청,7,부평구,갈산동,인천광역시 부평구 갈산동 193-45 부평구청역,6311-7590
