행정구역,전체 점포수
종로구,1283
중구,1189
용산구,828
성동구,685
광진구,758
동대문구,619
중랑구,463
성북구,682
강북구,454
도봉구,341
노원구,651
은평구,617
서대문구,679
마포구,1837
양천구,540
강서구,887
구로구,558
금천구,485
영등포구,1108
동작구,634
관악구,714
서초구,1391
강남구,2430
송파구,1342
강동구,727
